,service_type,is_mix_service,online_time,1_total_fee,2_total_fee,3_total_fee,4_total_fee,month_traffic,many_over_bill,contract_type,contract_time,is_promise_low_consume,net_service,pay_times,pay_num,last_month_traffic,local_trafffic_month,local_caller_time,service1_caller_time,service2_caller_time,gender,age,complaint_level,former_complaint_num,former_complaint_fee,current_service,fee_mean,fee_std,fee_fluctuate,online_time_norm,fee_mean_norm,fee_fluctuate_norm,month_traffic_norm,contract_time_norm,pay_num_norm,last_month_traffic_norm,local_trafffic_month_norm,local_caller_time_norm,service1_caller_time_norm,service2_caller_time_norm,age_norm,former_complaint_num_norm,former_complaint_fee_norm,service1_caller_time_dimean,last_month_traffic_dimean,former_complaint_num_dimean,former_complaint_fee_dimean,user_id,fee_mean_2,fee_mean_2_norm
22,4,0,34,206.66,333.02,241.0,316.3,2563.414215,1,1,24,0,4,2,200.02,0.0,2563.5263440000003,68.35,0.0,68.666667,1,33,0,0,0,12,274.245,52.192159000000004,36.546667,0.120879,0.059677999999999995,0.379393,0.016116,0.47169799999999995,0.010308,0.0,0.015819999999999997,0.014854,0.0,0.010548,0.333333,0.0,0.0,0,0,0,0,pdQCvySzG8FYNsKj,-25.53,0.606941
88,4,0,28,191.0,131.0,131.0,131.0,20.716989,0,0,0,0,4,2,200.0,3072.0,2990.658855,21.25,0.0,207.716667,1,29,0,0,0,5,146.0,25.980762,-20.0,0.098901,0.031773,0.35380500000000004,0.00013000000000000002,0.018868,0.010306999999999998,0.17647100000000002,0.018456,0.004618,0.0,0.031908,0.292929,0.0,0.0,0,1,0,0,MTSWkC9VcFBlbodG,30.0,0.6174310000000001
297,4,0,33,120.0,140.65,120.0,165.64,964.358987,0,0,0,1,4,1,200.0,1024.0,947.8610189999999,147.73333300000002,0.0,157.783333,1,33,0,0,0,5,136.5725,18.780582,15.213332999999999,0.11721600000000001,0.029720999999999997,0.369739,0.006063000000000001,0.018868,0.010306999999999998,0.058824,0.005849,0.032106,0.0,0.024238,0.333333,0.0,0.0,0,1,0,0,3Q2G5WEdYXDhqINF,12.495,0.614124
310,4,0,50,61.55,72.0,62.55,74.9,2007.825827,1,0,0,0,4,1,100.0,0.0,2009.5670289999998,33.866667,2.6333330000000004,32.85,1,22,0,0,0,2,67.75,5.802262000000001,4.45,0.17948699999999998,0.014746,0.364869,0.012623,0.018868,0.0051530000000000005,0.0,0.012401,0.007359999999999999,0.0006219999999999999,0.005046,0.22222199999999998,0.0,0.0,1,0,0,0,3aoOeVECXS28tFv6,0.95,0.611943
362,4,0,57,326.0,146.1,286.2,146.0,5678.5978270000005,0,0,0,1,4,1,200.0,873.401115,0.0,0.0,0.0,65.616667,1,36,0,0,0,0,226.075,81.252735,-60.0,0.20512800000000003,0.049196,0.335704,0.035702,0.018868,0.010306999999999998,0.050172,0.0,0.0,0.0,0.01008,0.363636,0.0,0.0,0,1,0,0,a7s2eWOSFD80U4rL,19.85,0.615513
472,4,0,71,152.0,152.0,152.0,118.25,2006.2902739999997,1,3,12,0,4,2,200.0,0.0,2776.9748670000004,70.533333,0.0,102.166667,2,31,0,0,0,4,143.5625,14.614179,-11.25,0.25640999999999997,0.031242000000000002,0.35776399999999997,0.012614,0.245283,0.010306999999999998,0.0,0.017137,0.015328999999999999,0.0,0.015694,0.313131,0.0,0.0,0,0,0,0,LW4MDmnp6ilqKzvd,-16.875,0.608576
578,4,0,54,180.0,360.0,240.1,289.91,1179.671248,0,3,12,0,3,1,100.0,0.0,1179.7870269999999,101.283333,0.0,171.083333,1,31,0,0,0,12,267.5025,66.078491,36.636666999999996,0.194139,0.058210000000000005,0.379433,0.007417,0.245283,0.0051530000000000005,0.0,0.007281,0.022011000000000003,0.0,0.026281,0.313131,0.0,0.0,0,0,0,0,9kiLuq58M0hIp7Vn,-65.095,0.599467
612,4,0,81,248.0,248.8,248.1,248.4,629.856337,0,1,24,1,4,4,140.0,1589.351856,0.55783,71.383333,0.0,157.3,1,51,0,0,0,5,248.325,0.311247,0.13333299999999998,0.29304,0.054038,0.362915,0.00396,0.47169799999999995,0.007215000000000001,0.0913,3e-06,0.015512999999999999,0.0,0.024163,0.515152,0.0,0.0,0,1,0,0,kqHwrYMNG1bWasKz,-0.25,0.611716
848,4,0,86,395.2,306.2,303.84,405.01,11496.61031,0,1,24,0,4,1,500.0,2898.209695,10698.95194,118.933333,0.0,281.716667,2,37,0,0,0,11,352.5625,47.676147,3.27,0.311355,0.07671900000000001,0.36433499999999996,0.07228,0.47169799999999995,0.025767,0.166487,0.066025,0.025847000000000002,0.0,0.043275,0.373737,0.0,0.0,0,1,0,0,fWCNM9XyrQUt574v,95.085,0.629725
875,4,0,40,120.0,0.0,120.0,120.0,532.379422,0,0,0,1,4,1,200.0,0.0,532.379422,8.966667,0.0,21.2,1,26,0,0,0,2,90.0,51.961524,0.0,0.14285699999999998,0.019588,0.36285500000000004,0.0033469999999999997,0.018868,0.010306999999999998,0.0,0.003285,0.0019489999999999998,0.0,0.003257,0.262626,0.0,0.0,0,0,0,0,wjqetip64KoY7axN,60.0,0.6230979999999999
